filename,num_makeup_region,num_extra_region,num_surplus_region,makeup_time,extra_time,surplus_time,subregion_time,num_subregion_with_annot,skip_silence_overlap_hour,skip_time,silence_time,silence_raw_hour,end_time,total_listen_time,positions,ranks,subregion_raw_hour,num_raw_subregion,annotation_counts_raw
38_08_sparse_code.cha,0,0,0,0,0,0,14356910,4,0,44020,3050170,0.86,43651300,14356910,"['1', '2', '3', '4', '5']","['2', '5', '4', '1', '3']",5.0,5.0,"[70, 0, 136, 103, 30]"
38_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,10947500,3.04,48847740,14400000,"['1', '2', '3', '4', '5']","['1', '2', '4', '5', '3']",5.0,5.0,"[32, 26, 23, 0, 0]"
38_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,14643590,4.07,57599990,14400000,"['1', '2', '3', '4', '5']","['3', '5', '2', '1', '4']",5.0,5.0,"[69, 0, 40, 65, 14]"
38_11_sparse_code.cha,0,0,0,0,0,0,14317950,4,0,0,8690300,2.41,48470430,14317950,"['1', '2', '3', '4', '5']","['4', '5', '2', '3', '1']",5.0,5.0,"[77, 0, 66, 80, 114]"
38_12_sparse_code.cha,1,0,0,1084690,0,0,13025820,4,0,1374180,6936860,2.31,47070990,14110510,"['1', '2', '3', '4', '5']","['2', '3', '5', '4', '1']",5.0,5.0,"[67, 55, 36, 29, 39]"
38_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,10651240,2.96,46945930,14400000,"['1', '2', '3', '4', '5']","['2', '1', '3', '5', '4']",5.0,5.0,"[130, 111, 92, 0, 78]"
38_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,14732210,4.09,46643550,10800000,"['1', '2', '3', '4', '5']","['1', '2', '3', '5', '4']",5.0,5.0,"[106, 92, 165, 0, 0]"
38_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,12227880,3.4,55758110,10800000,"['1', '2', '3', '4', '5']","['5', '2', '1', '3', '4']",5.0,5.0,"[0, 191, 230, 120, 0]"
38_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,4056530,1.13,48058360,10800000,"['1', '2', '3', '4', '5']","['4', '1', '2', '5', '3']",5.0,5.0,"[0, 103, 267, 0, 92]"
38_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,7873940,2.19,50398300,10800000,"['1', '2', '3', '4', '5']","['5', '4', '2', '3', '1']",5.0,5.0,"[0, 0, 106, 121, 46]"
39_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,2448870,3135950,0.87,40401490,34816670,[],[],0.0,0.0,[]
39_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,2232270,0,0.0,39238110,37005840,[],[],0.0,0.0,[]
39_08_sparse_code.cha,1,0,0,925030,0,0,12875380,4,0,0,16333720,4.54,46272360,13800410,"['1', '2', '3', '4', '5']","['1', '5', '3', '4', '2']",5.0,5.0,"[37, 6, 105, 52, 55]"
39_09_sparse_code.cha,1,0,0,644870,0,0,13666230,4,0,643620,4777700,1.33,43439550,14311100,"['1', '2', '3', '4', '5']","['1', '4', '2', '3', '5']",5.0,5.0,"[191, 76, 22, 24, 2]"
39_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,2801500,0.78,47063240,14400000,"['1', '2', '3', '4', '5']","['2', '5', '3', '4', '1']",5.0,5.0,"[54, 0, 13, 2, 5]"
39_11_sparse_code.cha,0,0,0,0,0,0,13713800,4,0,69730,8451650,2.35,32401430,13713800,"['1', '2', '3', '4', '5']","['1', '4', '5', '3', '2']",5.0,5.0,"[54, 27, 0, 53, 79]"
39_12_sparse_code.cha,0,0,0,0,0,0,14371030,4,0,0,18766800,5.21,44607430,14371030,"['1', '2', '3', '4', '5']","['1', '4', '3', '2', '5']",5.0,5.0,"[82, 77, 44, 46, 0]"
39_13_sparse_code.cha,0,0,0,0,0,0,11049930,4,0,6745810,22770,0.01,24274240,11049930,"['1', '2', '3', '4', '5']","['3', '1', '5', '4', '2']",5.0,5.0,"[54, 14, 0, 2, 43]"
39_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,1479930,0.41,39600000,10800000,"['1', '2', '3', '4', '5']","['3', '1', '5', '2', '4']",5.0,5.0,"[69, 45, 0, 88, 0]"
39_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,6397200,1.78,37315610,10800000,"['1', '2', '3', '4', '5']","['1', '5', '3', '4', '2']",5.0,5.0,"[25, 0, 54, 0, 13]"
39_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,3879920,1.08,42807490,10800000,"['1', '2', '3', '4', '5']","['3', '1', '4', '5', '2']",5.0,5.0,"[26, 88, 0, 0, 137]"
39_17_sparse_code.cha,1,0,0,130730,0,0,10654500,3,0,147070,15688820,4.36,35149800,10785230,"['1', '2', '3', '4', '5']","['5', '2', '4', '1', '3']",5.0,5.0,"[0, 47, 4, 62, 68]"
40_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,6368320,4609730,1.28,46178300,35200250,[],[],0.0,0.0,[]
40_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,7345310,17476020,4.85,57599990,32778660,[],[],0.0,0.0,[]
40_08_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,17042340,4.73,57599990,14400000,"['1', '2', '3', '4', '5']","['3', '4', '1', '5', '2']",5.0,5.0,"[26, 81, 69, 0, 52]"
40_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,20191230,5.61,57599990,14400000,"['1', '2', '3', '4', '5']","['4', '5', '2', '3', '1']",5.0,5.0,"[91, 0, 113, 91, 74]"
40_10_sparse_code.cha,1,0,0,960620,0,0,13445620,4,0,954380,12972560,3.6,57599990,14406240,"['1', '2', '3', '4', '5']","['1', '2', '3', '5', '4']",5.0,5.0,"[44, 31, 14, 5, 20]"
40_11_sparse_code.cha,1,5,0,32440,2991270,0,11276040,4,0,0,43051650,12.48,57599990,14299750,"['1', '2', '3', '4', '5']","['4', '2', '3', '1', '5']",5.0,5.0,"[2, 98, 69, 100, 1]"
40_12_sparse_code.cha,0,0,0,0,0,0,13888890,4,0,511110,14458870,4.02,57599990,13888890,"['1', '2', '3', '4', '5']","['2', '4', '5', '1', '3']",5.0,5.0,"[44, 52, 0, 31, 46]"
40_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,26103070,7.25,57599990,14400000,"['1', '2', '3', '4', '5']","['3', '2', '1', '4', '5']",5.0,5.0,"[46, 39, 11, 26, 0]"
40_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10064990,2.8,49624300,10800000,"['1', '2', '3', '4', '5']","['4', '3', '5', '2', '1']",5.0,5.0,"[0, 43, 0, 70, 63]"
40_15_sparse_code.cha,1,0,0,2820900,0,0,7989010,3,0,2810990,21987940,6.11,57599990,10809910,"['1', '2', '3', '4', '5']","['4', '2', '5', '3', '1']",5.0,5.0,"[4, 73, 0, 7, 181]"
40_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,17358200,4.82,57599990,10800000,"['1', '2', '3', '4', '5']","['5', '3', '1', '2', '4']",5.0,5.0,"[0, 13, 171, 63, 0]"
40_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,12744770,3.54,52070800,10800000,"['1', '2', '3', '4', '5']","['2', '5', '1', '4', '3']",5.0,5.0,"[125, 0, 122, 0, 99]"
41_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,1975490,18496070,5.14,57599990,37128430,[],[],0.0,0.0,[]
41_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,10088360,7455120,2.07,57599990,40056510,[],[],0.0,0.0,[]
41_08_sparse_code.cha,1,0,0,899130,0,0,13326960,4,0,1063370,18131060,5.08,57599990,14226090,"['1', '2', '3', '4', '5']","['5', '2', '3', '1', '4']",5.0,5.0,"[4, 99, 66, 61, 93]"
41_09_sparse_code.cha,1,0,0,1260700,0,0,12943870,4,0,1260580,17088650,5.1,57599990,14204570,"['1', '2', '3', '4', '5']","['2', '4', '5', '1', '3']",5.0,5.0,"[160, 29, 47, 104, 51]"
41_10_sparse_code.cha,1,0,0,1786120,0,0,12614970,4,0,1785030,34696680,9.68,57599990,14401090,"['1', '2', '3', '4', '5']","['5', '3', '4', '1', '2']",5.0,5.0,"[24, 143, 101, 81, 257]"
41_11_sparse_code.cha,1,0,0,1281260,0,0,13636960,4,0,687140,20529050,5.7,57599990,14918220,"['1', '2', '3', '4', '5']","['5', '1', '4', '3', '2']",5.0,5.0,"[21, 120, 152, 78, 115]"
41_12_sparse_code.cha,1,0,0,1363760,0,0,13332200,4,0,0,27955720,7.77,57599990,14695960,"['1', '2', '3', '4', '5']","['2', '5', '4', '1', '3']",5.0,5.0,"[206, 22, 67, 110, 114]"
41_13_sparse_code.cha,1,0,0,1861860,0,0,12542760,4,0,1860780,24686550,6.86,57599990,14404620,"['1', '2', '3', '4', '5']","['2', '1', '4', '5', '3']",5.0,5.0,"[180, 75, 213, 90, 203]"
41_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,27838490,7.73,57599990,10800000,"['1', '2', '3', '4', '5']","['3', '4', '5', '2', '1']",5.0,5.0,"[149, 0, 0, 96, 211]"
41_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,21483300,5.97,57599990,10800000,"['1', '2', '3', '4', '5']","['1', '5', '3', '4', '2']",5.0,5.0,"[108, 0, 140, 0, 92]"
41_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,24449280,6.79,57599990,10800000,"['1', '2', '3', '4', '5']","['2', '3', '4', '1', '5']",5.0,5.0,"[90, 201, 0, 122, 0]"
41_17_sparse_code.cha,1,0,0,3601840,0,0,7200000,2,0,3578020,18445970,5.12,57599990,10801840,"['1', '2', '3', '4', '5']","['4', '1', '5', '3', '2']",5.0,5.0,"[273, 243, 0, 164, 0]"
42_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,1423560,15385120,4.27,57599990,40791310,[],[],0.0,0.0,[]
42_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,6016390,18322830,5.09,57599990,33260770,[],[],0.0,0.0,[]
42_08_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,19500560,5.42,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '1', '3', '2', '4']",5.0,5.0,"[0, 44, 73, 93, 47]"
42_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,21654330,6.02,57599990,14400000,"['1', '2', '3', '4', '5']","['2', '4', '3', '1', '5']",5.0,5.0,"[136, 51, 87, 160, 0]"
42_10_sparse_code.cha,0,0,0,0,0,0,14061780,4,0,337640,28957160,8.14,57599990,14061780,"['1', '2', '3', '4', '5']","['4', '2', '5', '1', '3']",5.0,5.0,"[103, 208, 0, 130, 67]"
42_11_sparse_code.cha,1,0,0,2374980,0,0,12030140,4,0,2369860,22699660,6.31,57599990,14405120,"['1', '2', '3', '4', '5']","['4', '1', '2', '3', '5']",5.0,5.0,"[145, 96, 94, 85, 90]"
42_12_sparse_code.cha,1,0,0,3143510,0,0,11264210,4,0,3132030,26589650,8.26,57599990,14407720,"['1', '2', '3', '4', '5']","['4', '1', '2', '5', '3']",5.0,5.0,"[182, 103, 4, 101, 121]"
42_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,25150300,6.99,57599990,14400000,"['1', '2', '3', '4', '5']","['1', '3', '5', '4', '2']",5.0,5.0,"[173, 202, 0, 85, 88]"
42_14_sparse_code.cha,0,0,0,0,0,0,10773700,3,0,0,18026290,5.01,57599990,10773700,"['1', '2', '3', '4', '5']","['4', '5', '1', '3', '2']",5.0,5.0,"[0, 0, 153, 175, 232]"
42_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,21805110,6.06,57599990,10800000,"['1', '2', '3', '4', '5']","['2', '1', '5', '3', '4']",5.0,5.0,"[144, 241, 0, 221, 0]"
42_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,17593610,4.89,57599990,10800000,"['1', '2', '3', '4', '5']","['3', '4', '2', '1', '5']",5.0,5.0,"[121, 0, 198, 148, 0]"
42_17_sparse_code.cha,1,0,0,3600440,0,0,7200000,2,0,3597220,19230030,5.34,57599990,10800440,"['1', '2', '3', '4', '5']","['2', '5', '1', '4', '3']",5.0,5.0,"[423, 0, 250, 162, 0]"
43_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,10877260,1939940,0.54,38401490,25584290,[],[],0.0,0.0,[]
43_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,0,14925340,4.15,54478240,39552900,[],[],0.0,0.0,[]
43_08_sparse_code.cha,1,0,0,676720,0,0,14400000,4,0,0,5803390,1.61,45837800,15076720,"['1', '2', '3', '4', '5']","['4', '5', '1', '3', '2']",5.0,5.0,"[40, 16, 57, 37, 2]"
43_09_sparse_code.cha,1,0,0,720550,0,0,13577280,4,0,740190,8813850,2.45,56998860,14297830,"['1', '2', '3', '4', '5']","['1', '2', '5', '3', '4']",5.0,5.0,"[55, 52, 14, 15, 16]"
43_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,16583830,4.61,50684490,14400000,"['1', '2', '3', '4', '5']","['5', '3', '1', '4', '2']",5.0,5.0,"[0, 38, 61, 46, 29]"
43_11_sparse_code.cha,1,0,0,950790,0,0,13457280,4,0,942720,8754600,2.43,47892800,14408070,"['1', '2', '3', '4', '5']","['3', '1', '5', '2', '4']",5.0,5.0,"[113, 32, 20, 20, 41]"
43_12_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,12882320,3.58,41274300,14400000,"['1', '2', '3', '4', '5']","['1', '4', '2', '5', '3']",5.0,5.0,"[97, 36, 107, 0, 71]"
43_13_sparse_code.cha,1,0,0,1074330,0,0,13025040,4,0,1375270,6974950,1.94,45180610,14099370,"['1', '2', '3', '4', '5']","['5', '1', '2', '4', '3']",5.0,5.0,"[22, 198, 53, 51, 52]"
43_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10806520,3.0,43200000,10800000,"['1', '2', '3', '4', '5']","['5', '3', '1', '4', '2']",5.0,5.0,"[0, 56, 36, 0, 111]"
43_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,5996880,1.67,42474860,10800000,"['1', '2', '3', '4', '5']","['4', '1', '2', '3', '5']",5.0,5.0,"[0, 62, 65, 171, 0]"
43_16_sparse_code.cha,0,0,0,0,0,0,10551620,3,0,0,14204590,3.95,45871800,10551620,"['1', '2', '3', '4', '5']","['3', '4', '2', '5', '1']",5.0,5.0,"[96, 0, 162, 0, 132]"
43_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,6845070,1.9,47250360,10800000,"['1', '2', '3', '4', '5']","['1', '2', '5', '4', '3']",5.0,5.0,"[105, 151, 0, 0, 221]"
44_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,3016900,29538770,8.21,57599990,25044320,[],[],0.0,0.0,[]
44_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,0,10744180,2.98,39724680,28980500,[],[],0.0,0.0,[]
44_08_sparse_code.cha,0,0,0,0,0,0,14068550,4,0,0,21304940,5.92,44400000,14068550,"['1', '2', '3', '4', '5']","['3', '2', '5', '1', '4']",5.0,5.0,"[1, 22, 0, 10, 14]"
44_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,5591010,1.55,40095360,14400000,"['1', '2', '3', '4', '5']","['3', '5', '2', '4', '1']",5.0,5.0,"[5, 0, 24, 34, 5]"
44_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,30084500,8.36,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '1', '4', '3', '2']",5.0,5.0,"[0, 13, 9, 21, 72]"
44_11_sparse_code.cha,0,0,0,0,0,0,14036030,4,0,0,10118010,2.81,45651550,14036030,"['1', '2', '3', '4', '5']","['1', '2', '4', '3', '5']",5.0,5.0,"[13, 69, 42, 18, 0]"
44_12_sparse_code.cha,0,0,1,0,0,378920,14400000,4,0,0,6272380,1.74,41403800,14400000,"['1', '2', '3', '4', '5']","['4', '2', '1', '5', '3']",5.0,5.0,"[115, 12, 14, 0, 29]"
44_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,4630900,1.29,46806240,14400000,"['1', '2', '3', '4', '5']","['4', '5', '1', '2', '3']",5.0,5.0,"[19, 0, 70, 27, 123]"
44_14_sparse_code.cha,1,5,0,3600510,2318550,0,4879910,3,0,5919390,240740,0.07,40144050,10798970,"['1', '2', '3', '4', '5']","['2', '3', '5', '1', '4']",5.0,5.0,"[47, 27, 66, 20, 0]"
44_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,7822740,2.17,33907430,10800000,"['1', '2', '3', '4', '5']","['3', '2', '4', '1', '5']",5.0,5.0,"[64, 56, 0, 48, 0]"
44_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10338050,2.87,37327860,10800000,"['1', '2', '3', '4', '5']","['1', '4', '2', '3', '5']",5.0,5.0,"[146, 0, 220, 80, 0]"
44_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10760250,2.99,33900000,10800000,"['1', '2', '3', '4', '5']","['2', '1', '3', '5', '4']",5.0,5.0,"[57, 97, 58, 0, 0]"
45_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,1187830,17914860,4.98,45795990,26693300,[],[],0.0,0.0,[]
45_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,2669510,9698670,2.69,38100930,25732750,[],[],0.0,0.0,[]
45_08_sparse_code.cha,1,0,1,2220190,0,59180,12145280,4,0,974940,7306550,2.03,50055300,14365470,"['1', '2', '3', '4', '5']","['5', '2', '1', '4', '3']",5.0,5.0,"[18, 2, 14, 48, 28]"
45_09_sparse_code.cha,1,0,0,1410960,0,0,12791090,4,0,1410480,22806060,6.34,50457740,14202050,"['1', '2', '3', '4', '5']","['2', '1', '5', '3', '4']",5.0,5.0,"[29, 19, 17, 10, 23]"
45_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,0,0.0,19200000,14400000,"['1', '2', '3', '4']","['3', '1', '2', '4']",4.0,4.0,"[14, 21, 4, 10]"
45_11_sparse_code.cha,0,0,0,0,0,0,14170350,4,0,0,26364700,7.32,57599990,14170350,"['1', '2', '3', '4', '5']","['3', '4', '1', '5', '2']",5.0,5.0,"[11, 20, 16, 0, 22]"
45_12_sparse_code.cha,1,0,0,900350,0,0,12995800,4,0,1404200,9225300,2.56,44279490,13896150,"['1', '2', '3', '4', '5']","['1', '5', '4', '2', '3']",5.0,5.0,"[37, 0, 33, 24, 25]"
45_13_sparse_code.cha,0,0,0,0,0,0,14399000,4,0,0,6300980,1.75,48841800,14399000,"['1', '2', '3', '4', '5']","['2', '1', '3', '5', '4']",5.0,5.0,"[47, 16, 42, 0, 42]"
45_14_sparse_code.cha,1,0,0,868290,0,0,9936250,3,0,863750,7637120,2.12,45346240,10804540,"['1', '2', '3', '4', '5']","['2', '5', '4', '3', '1']",5.0,5.0,"[84, 0, 20, 50, 144]"
45_15_sparse_code.cha,0,0,0,0,0,0,10646070,3,0,0,14303820,3.97,41708610,10646070,"['1', '2', '3', '4', '5']","['2', '5', '4', '1', '3']",5.0,5.0,"[34, 0, 0, 22, 43]"
45_16_sparse_code.cha,1,0,0,1247340,0,0,9552960,3,0,1247040,5280450,1.47,40858680,10800300,"['1', '2', '3', '4', '5']","['4', '3', '5', '2', '1']",5.0,5.0,"[6, 96, 0, 72, 27]"
45_17_sparse_code.cha,1,0,0,69520,0,0,10732230,3,0,66920,14014180,3.89,33981490,10801750,"['1', '2', '3', '4', '5']","['3', '2', '5', '4', '1']",5.0,5.0,"[75, 62, 0, 0, 123]"
46_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,5643960,0,0.75,40291490,34647530,[],[],0.0,0.0,[]
46_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,2831140,4556210,1.27,38550240,31162890,[],[],0.0,0.0,[]
46_08_sparse_code.cha,1,0,0,2297030,0,0,11591990,4,0,2294820,8200920,2.28,38245610,13889020,"['1', '2', '3', '4', '5']","['4', '1', '3', '2', '5']",5.0,5.0,"[26, 33, 10, 38, 47]"
46_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,3776640,1.05,40520800,14400000,"['1', '2', '3', '4', '5']","['1', '2', '4', '5', '3']",5.0,5.0,"[52, 23, 33, 0, 25]"
46_10_sparse_code.cha,1,0,0,780860,0,0,13133760,4,0,1267130,6776280,1.88,39422550,13914620,"['1', '2', '3', '4', '5']","['2', '3', '4', '5', '1']",5.0,5.0,"[30, 21, 8, 1, 73]"
46_11_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,25200330,7.0,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '3', '1', '2', '4']",5.0,5.0,"[0, 65, 25, 22, 98]"
46_12_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,10851920,3.01,39271550,14400000,"['1', '2', '3', '4', '5']","['3', '1', '2', '5', '4']",5.0,5.0,"[31, 51, 69, 0, 48]"
46_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,7051700,1.96,44573740,14400000,"['1', '2', '3', '4', '5']","['3', '2', '4', '5', '1']",5.0,5.0,"[75, 98, 98, 0, 89]"
46_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,12021770,3.34,38562610,10800000,"['1', '2', '3', '4', '5']","['4', '2', '3', '5', '1']",5.0,5.0,"[0, 32, 34, 0, 107]"
46_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,13143620,3.65,39114490,10800000,"['1', '2', '3', '4', '5']","['2', '4', '1', '5', '3']",5.0,5.0,"[89, 0, 174, 0, 34]"
46_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,6094710,1.69,39600000,10800000,"['1', '2', '3', '4', '5']","['4', '2', '5', '3', '1']",5.0,5.0,"[0, 169, 0, 138, 287]"
46_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,15549170,4.32,41100000,10800000,"['1', '2', '3', '4', '5']","['3', '4', '2', '1', '5']",5.0,5.0,"[141, 0, 173, 42, 0]"
